sku,source_code,name,brand,size,price,product_type,file_category,file_confidence,final_category,final_slug,confidence,reason,evidence_basis,review_status,review_reason,reviewed_at,stage2_status,tree,is_pilot10,corrected_from_excel,in_original_focus350
ARD-2268,2268,منظف دبدوب لمار,دار المسك,,6000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=منظف دبدوب لمار; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-2270,2270,منظف دبدوب انجل,دار المسك,,6000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=منظف دبدوب انجل; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-2293,2293,عطر فواح باريس,دار المسك,,6000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح باريس; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2296,2296,عطر فواح فينيسا,دار المسك,,5000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح فينيسا; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2297,2297,عطر فواح باتشولي,دار المسك,,5000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح باتشولي; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2298,2298,عطر فواح ياسمين,دار المسك,,5000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح ياسمين; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2299,2299,عطر فواح ليمون,دار المسك,,6000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح ليمون; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2300,2300,عطر فواح لندن,دار المسك,,5000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح لندن; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2301,2301,عطر فواح نيويورك,دار المسك,,5000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح نيويورك; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2302,2302,عطر فواح روز,دار المسك,,6000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح روز; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2304,2304,عطر فواح كام سنت,دار المسك,,7000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح كام سنت; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2307,2307,عطر فواح لافندر,دار المسك,,6000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح لافندر; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2356,2356,عطر فواح كوفي لايت,دار المسك,,5000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح كوفي لايت; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-4766,4766,عطر فواح باربي,دار المسك,,6000,عطر فواح أو رشوش,معطرات المنزل والمفارش والجو,medium,العطور,perfumes,high,standard perfume,name=عطر فواح باربي; product_type=عطر فواح أو رشوش,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2454,2454,عطر شعر خلطتي ابيض 50 مل,دار المسك,50 مل,10000,عطر شعر,العناية بالشعر وعطور الشعر,high,العناية بالشعر وعطور الشعر,hair-care-fragrance,high,explicit hair fragrance,name=عطر شعر خلطتي ابيض 50 مل; product_type=عطر شعر,approved,explicit hair fragrance,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-2455,2455,عطر شعر خلطتي اسود 50 مل,دار المسك,50 مل,10000,عطر شعر,العناية بالشعر وعطور الشعر,high,العناية بالشعر وعطور الشعر,hair-care-fragrance,high,explicit hair fragrance,name=عطر شعر خلطتي اسود 50 مل; product_type=عطر شعر,approved,explicit hair fragrance,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
